level_0,index,Unnamed: 0,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
13,13,13,0,0.0,0.0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,Feb,2.0,5,1,3,Returning_Visitor,False,False
14,14,14,0,0.0,0.0,0.0,2,68.0,0.0,0.1,0.0,0.0,Feb,3.0,2,3,3,Returning_Visitor,False,False
15,15,15,2,53.0,0.0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,Feb,1.0,1,9,3,Returning_Visitor,False,False
16,16,16,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1,4,3,Returning_Visitor,False,False
17,17,17,0,0.0,0.0,0.0,13,334.96666669999996,0.0,0.007692308,0.0,0.0,Feb,1.0,1,1,4,Returning_Visitor,True,False
18,18,18,0,0.0,0.0,0.0,2,32.0,0.0,0.1,0.0,0.0,Feb,2.0,2,1,3,Returning_Visitor,False,False
19,19,19,0,0.0,0.0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,Feb,2.0,4,4,4,Returning_Visitor,False,False
20,20,20,0,0.0,0.0,0.0,8,136.16666669999998,0.0,0.008333333,0.0,1.0,Feb,2.0,2,5,1,Returning_Visitor,True,False
21,21,21,0,0.0,0.0,0.0,2,0.0,0.2,0.2,0.0,0.0,Feb,3.0,3,1,3,Returning_Visitor,False,False
22,22,22,0,0.0,0.0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,Feb,3.0,2,1,5,Returning_Visitor,False,False
23,23,23,0,0.0,0.0,0.0,2,15.0,0.0,0.1,0.0,0.8,Feb,2.0,4,1,3,Returning_Visitor,False,False
24,24,24,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2.0,2,4,1,Returning_Visitor,True,False
25,25,25,0,0.0,0.0,0.0,5,156.0,0.0,0.04,0.0,0.0,Feb,1.0,1,9,3,Returning_Visitor,False,False
26,26,26,4,64.6,0.0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,Feb,2.0,2,1,3,Returning_Visitor,False,False
27,27,27,0,0.0,0.0,0.0,4,76.0,0.05,0.1,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
28,28,28,0,0.0,0.0,0.0,4,63.0,0.0,0.05,0.0,0.2,Feb,2.0,6,1,3,Returning_Visitor,False,False
29,29,29,1,6.0,1.0,0.0,45,1582.75,0.043478261,0.0508212559999999,54.17976426,0.4,Feb,3.0,2,1,1,Returning_Visitor,False,False
30,30,30,0,0.0,0.0,0.0,2,35.0,0.0,0.1,0.0,0.0,Feb,1.0,1,6,3,Returning_Visitor,False,False
31,31,31,0,0.0,0.0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,Feb,1.0,2,6,6,Returning_Visitor,True,False
32,32,32,0,0.0,0.0,0.0,8,209.5,0.0,0.025,0.0,0.0,Feb,2.0,2,1,1,Returning_Visitor,False,False
33,34,34,0,0.0,0.0,0.0,14,380.5,0.014285714,0.028571429,0.0,0.0,Feb,2.0,2,1,1,Returning_Visitor,False,False
34,35,35,0,0.0,0.0,0.0,52,2086.242857,0.015384615,0.020352564,0.0,0.0,Feb,2.0,2,7,1,Returning_Visitor,False,False
35,36,36,0,0.0,0.0,0.0,8,388.0,0.025,0.05625,0.0,0.0,Feb,3.0,2,1,4,Returning_Visitor,True,False
36,37,37,2,18.0,0.0,0.0,5,298.0,0.0,0.028571429,0.0,0.8,Feb,2.0,2,8,4,Returning_Visitor,False,False
37,38,38,0,0.0,0.0,0.0,7,63.0,0.028571429,0.071428571,0.0,0.6,Feb,2.0,2,1,3,Returning_Visitor,False,False
38,39,39,0,0.0,0.0,0.0,9,482.0,0.0,0.022222222,0.0,0.0,Feb,2.0,5,1,6,Returning_Visitor,False,False
39,40,40,1,9.0,0.0,0.0,46,4084.393939,0.0,0.001794872,0.0,0.0,Feb,2.0,2,8,4,Returning_Visitor,False,False
40,41,41,0,0.0,0.0,0.0,3,22.0,0.0,0.066666667,0.0,0.6,Feb,1.0,1,3,2,Returning_Visitor,False,False
41,42,42,0,0.0,0.0,0.0,15,310.1666667,0.0,0.0066666669999999,0.0,0.0,Feb,1.0,1,4,4,Returning_Visitor,False,False
42,43,43,0,0.0,0.0,0.0,2,34.0,0.0,0.05,0.0,0.4,Feb,3.0,2,2,3,Returning_Visitor,False,False
43,44,44,0,0.0,0.0,0.0,4,88.0,0.0,0.05,0.0,0.0,Feb,4.0,1,1,3,Returning_Visitor,False,False
44,45,45,0,0.0,0.0,0.0,22,622.25,0.003030303,0.006060606,0.0,0.2,Feb,2.0,5,1,4,Returning_Visitor,False,False
45,46,46,0,0.0,0.0,0.0,14,222.4,0.017142857,0.057142857,0.0,0.0,Feb,1.0,1,1,2,Returning_Visitor,False,False
46,47,47,0,0.0,0.0,0.0,3,80.0,0.066666667,0.133333333,0.0,0.2,Feb,3.0,2,1,3,Returning_Visitor,False,False
47,48,48,0,0.0,0.0,0.0,11,800.8333332999999,0.0,0.003636364,0.0,0.0,Feb,3.0,2,1,3,Returning_Visitor,False,False
48,49,49,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,2.0,2,3,2,Returning_Visitor,False,False
49,50,50,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1,3,4,Returning_Visitor,True,False
50,51,51,0,0.0,0.0,0.0,12,265.1666667,0.011111111,0.026111111,0.0,0.2,Feb,3.0,2,1,3,Returning_Visitor,False,False
51,52,52,0,0.0,0.0,0.0,2,29.0,0.0,0.1,0.0,1.0,Feb,2.0,4,4,2,Returning_Visitor,True,False
52,53,53,0,0.0,0.0,0.0,4,160.0,0.0,0.075,0.0,0.0,Feb,4.0,2,2,3,Returning_Visitor,False,False
53,54,54,0,0.0,0.0,0.0,4,135.66666669999998,0.05,0.025,0.0,0.4,Feb,3.0,3,1,4,Returning_Visitor,False,False
54,55,55,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.2,Feb,2.0,4,1,3,Returning_Visitor,False,False
55,56,56,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,3.0,2,3,3,Returning_Visitor,False,False
56,57,57,4,56.0,2.0,120.0,36,998.7416667,0.0,0.014736467,19.44707913,0.2,Feb,2.0,2,4,1,Returning_Visitor,False,False
57,58,58,0,0.0,0.0,0.0,4,104.0,0.0,0.05,0.0,0.4,Feb,2.0,6,6,3,Returning_Visitor,False,False
58,59,59,2,16.0,0.0,0.0,16,381.6865079,0.011764706,0.046568627,0.0,0.6,Feb,2.0,4,2,1,Returning_Visitor,False,False
59,60,60,0,0.0,0.0,0.0,6,169.0,0.0,0.016666667,0.0,0.4,Feb,1.0,1,3,3,Returning_Visitor,False,False
60,61,61,0,0.0,0.0,0.0,8,400.8,0.05,0.120833333,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
61,62,62,12,279.4166667,0.0,0.0,42,1553.583333,0.009,0.019666667,38.30849268,0.0,Feb,1.0,1,3,2,Returning_Visitor,False,False
62,63,63,0,0.0,0.0,0.0,14,706.5,0.0,0.007142857,0.0,0.0,Feb,2.0,2,5,4,Returning_Visitor,True,False
63,64,64,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2.0,2,4,3,Returning_Visitor,False,False
64,65,65,3,87.83333333,0.0,0.0,27,798.3333332999999,0.0,0.012643678,22.9160357,0.8,Feb,2.0,2,3,1,Returning_Visitor,False,True
65,66,66,4,44.0,0.0,0.0,90,6951.972222,0.002150538,0.015013034,0.0,0.0,Feb,4.0,1,1,3,Returning_Visitor,False,False
66,67,67,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,2.0,2,5,1,Returning_Visitor,False,False
67,68,68,0,0.0,0.0,0.0,18,902.0,0.0,0.0074074069999999,0.0,0.0,Feb,2.0,7,2,4,Returning_Visitor,False,False
68,69,69,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.2,Feb,3.0,2,3,3,Returning_Visitor,False,False
69,71,71,0,0.0,0.0,0.0,20,197.3777778,0.025,0.0525,0.0,0.0,Feb,2.0,6,6,1,Returning_Visitor,False,False
70,72,72,0,0.0,0.0,0.0,2,43.0,0.0,0.1,0.0,0.4,Feb,2.0,2,3,3,Returning_Visitor,False,False
71,73,73,0,0.0,0.0,0.0,8,426.6666666999999,0.0,0.0125,0.0,0.0,Feb,2.0,4,3,2,Returning_Visitor,False,False
72,74,74,0,0.0,0.0,0.0,3,135.0,0.0,0.066666667,0.0,0.0,Feb,2.0,4,3,3,Returning_Visitor,False,False
73,75,75,0,0.0,0.0,0.0,16,588.3333332999999,0.0,0.025,0.0,0.0,Feb,2.0,4,1,1,Returning_Visitor,False,False
74,76,76,10,1005.666667,0.0,0.0,36,2111.341667,0.004347826,0.0144927539999999,11.43941195,0.0,Feb,2.0,6,1,2,Returning_Visitor,False,True
75,77,77,0,0.0,0.0,0.0,2,76.0,0.0,0.05,0.0,0.6,Feb,3.0,2,3,3,Returning_Visitor,False,False
76,78,78,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,1.0,Feb,1.0,1,1,3,Returning_Visitor,True,False
77,79,79,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,1.0,1,1,3,Returning_Visitor,False,False
78,80,80,0,0.0,0.0,0.0,7,208.0,0.0,0.028571429,0.0,0.0,Feb,4.0,1,1,5,Returning_Visitor,True,False
79,81,81,0,0.0,0.0,0.0,4,270.0,0.0,0.016666667,0.0,0.8,Feb,1.0,1,1,3,Returning_Visitor,False,False
80,82,82,0,0.0,0.0,0.0,6,39.5,0.0,0.02,0.0,0.0,Feb,2.0,2,1,3,Returning_Visitor,False,False
81,83,83,0,0.0,0.0,0.0,12,375.0,0.016666667,0.058333333,0.0,0.0,Feb,3.0,2,4,1,Returning_Visitor,False,False
82,84,84,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.8,Feb,2.0,2,2,1,Returning_Visitor,True,False
83,85,85,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
84,86,86,0,0.0,0.0,0.0,7,150.0,0.057142857,0.085714286,0.0,0.0,Feb,2.0,2,2,1,Returning_Visitor,False,False
85,87,87,0,0.0,0.0,0.0,3,138.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
86,88,88,0,0.0,0.0,0.0,7,337.5,0.028571429,0.023809524,0.0,0.4,Feb,4.0,1,3,3,Returning_Visitor,False,False
87,89,89,0,0.0,0.0,0.0,19,620.0333333,0.0,0.0078947369999999,0.0,0.0,Feb,1.0,1,4,2,Returning_Visitor,False,False
88,90,90,2,36.0,0.0,0.0,15,168.84615380000002,0.0,0.011764706,0.0,0.4,Feb,1.0,1,1,3,Returning_Visitor,False,False
89,91,91,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1,1,2,Returning_Visitor,True,False
90,92,92,0,0.0,0.0,0.0,2,52.0,0.0,0.1,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
91,93,93,0,0.0,0.0,0.0,13,649.25,0.0,0.015384615,0.0,0.0,Feb,2.0,2,1,5,New_Visitor,False,False
92,94,94,0,0.0,0.0,0.0,27,925.3333332999998,0.003703704,0.025925926,0.0,0.6,Feb,4.0,1,3,3,Returning_Visitor,False,False
93,95,95,0,0.0,0.0,0.0,2,33.0,0.0,0.1,0.0,0.2,Feb,1.0,1,1,3,Returning_Visitor,False,False
94,96,96,0,0.0,0.0,0.0,6,1566.5,0.05,0.066666667,0.0,0.2,Feb,1.0,1,1,3,Returning_Visitor,False,False
95,97,97,0,0.0,0.0,0.0,4,105.0,0.0,0.025,0.0,0.6,Feb,1.0,1,1,4,Returning_Visitor,False,False
96,98,98,0,0.0,1.0,0.0,7,50.0,0.038095238,0.0809523809999999,0.0,0.6,Feb,2.0,4,1,7,Returning_Visitor,False,False
97,99,99,0,0.0,0.0,0.0,16,644.2,0.004166667,0.031666667,0.0,0.0,Feb,3.0,2,3,4,Returning_Visitor,False,False
98,100,100,3,18.33333333,0.0,0.0,38,2635.177778,0.0,0.008947368,0.0,0.4,Feb,2.0,4,1,2,Returning_Visitor,False,False
99,101,101,4,61.0,0.0,0.0,19,607.0,0.0,0.026984127,17.53595893,1.0,Feb,1.0,1,7,4,Returning_Visitor,True,True
100,102,102,0,0.0,0.0,0.0,6,415.0,0.0,0.033333333,0.0,0.4,Feb,1.0,1,3,2,Returning_Visitor,False,False
101,104,104,3,58.5,0.0,0.0,17,281.6666667,0.007058824,0.017647059,0.0,0.0,Feb,1.0,1,3,4,Returning_Visitor,False,False
102,105,105,0,0.0,0.0,0.0,2,27.0,0.15,0.15,0.0,0.0,Feb,1.0,1,7,2,Returning_Visitor,False,False
103,106,106,0,0.0,1.0,0.0,9,215.0,0.044444444,0.074074074,0.0,0.8,Feb,4.0,1,1,3,Returning_Visitor,False,False
104,107,107,0,0.0,0.0,0.0,12,162.0,0.05,0.066666667,0.0,0.0,Feb,1.0,1,1,3,Returning_Visitor,False,False
105,108,108,0,0.0,0.0,0.0,2,114.0,0.05,0.066666667,0.0,0.8,Feb,3.0,3,1,3,Returning_Visitor,False,False
106,109,109,6,326.25,4.0,94.0,128,5062.213753,0.000854701,0.01791847,0.0,0.0,Feb,2.0,5,1,3,Returning_Visitor,False,False
107,110,110,0,0.0,0.0,0.0,4,253.0,0.0,0.016666667,0.0,0.6,Feb,2.0,2,3,3,Returning_Visitor,False,False
108,111,111,0,0.0,0.0,0.0,4,0.0,0.2,0.2,0.0,0.4,Feb,2.0,2,1,3,Returning_Visitor,False,False
109,112,112,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.8,Feb,1.0,1,2,3,Returning_Visitor,False,False
110,113,113,2,22.0,0.0,0.0,25,436.5,0.008,0.024,0.0,0.2,Feb,2.0,4,1,1,Returning_Visitor,False,False
111,114,114,0,0.0,1.0,93.0,30,1045.833333,0.012903226,0.035483871,0.0,0.2,Feb,1.0,1,1,3,Returning_Visitor,False,False
112,115,115,0,0.0,0.0,0.0,12,317.8333333,0.0,0.005555556,0.0,0.0,Feb,1.0,1,1,4,Returning_Visitor,True,False
113,116,116,0,0.0,0.0,0.0,21,1146.333333,0.0,0.012962963,0.0,0.8,Feb,3.0,2,1,3,Returning_Visitor,False,False
114,117,117,0,0.0,0.0,0.0,11,577.0,0.018181818,0.027272727,0.0,0.2,Feb,2.0,2,3,1,Returning_Visitor,False,False
115,118,118,0,0.0,0.0,0.0,8,95.0,0.0,0.075,0.0,0.0,Feb,4.0,1,3,3,Returning_Visitor,False,False
116,119,119,0,0.0,0.0,0.0,6,301.5,0.0,0.111111111,0.0,0.0,Feb,2.0,4,9,3,Returning_Visitor,False,False
117,120,120,0,0.0,0.0,0.0,6,243.0,0.0,0.033333333,0.0,0.0,Feb,2.0,4,4,1,Returning_Visitor,False,False
118,121,121,0,0.0,0.0,0.0,4,135.5,0.0,0.05,0.0,0.6,Feb,2.0,2,1,2,Returning_Visitor,False,False
119,122,122,0,0.0,2.0,75.0,14,442.3333333000001,0.0,0.034375,0.0,0.8,Feb,1.0,1,3,3,Returning_Visitor,False,False
120,123,123,0,0.0,0.0,0.0,3,41.0,0.0,0.066666667,0.0,0.0,Feb,1.0,1,3,3,Returning_Visitor,False,False
121,124,124,0,0.0,0.0,0.0,11,292.9,0.0279999999999999,0.11952381,0.0,0.0,Feb,2.0,4,3,1,Returning_Visitor,False,False
122,125,125,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,1.0,1,3,3,Returning_Visitor,False,False
123,126,126,0,0.0,0.0,0.0,9,1238.333333,0.0,0.040740741,0.0,0.4,Feb,2.0,2,1,3,Returning_Visitor,False,False
124,127,127,0,0.0,0.0,0.0,10,225.4666667,0.0,0.05,0.0,0.4,Feb,1.0,1,8,3,Returning_Visitor,False,False
125,129,129,0,0.0,0.0,0.0,3,13.0,0.133333333,0.166666667,0.0,0.0,Feb,2.0,4,1,1,Returning_Visitor,False,False
126,130,130,0,0.0,0.0,0.0,2,222.0,0.0,0.1,0.0,0.0,Feb,2.0,6,1,2,Returning_Visitor,True,False
127,131,131,2,20.0,0.0,0.0,16,214.8333333,0.0,0.022222222,0.0,0.0,Feb,2.0,2,1,6,Returning_Visitor,False,False
128,132,132,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,3.0,2,3,3,Returning_Visitor,False,False
129,133,133,0,0.0,0.0,0.0,6,2017.166667,0.0,0.011111111,0.0,0.8,Feb,2.0,2,4,3,Returning_Visitor,False,False
130,134,134,6,111.5,0.0,0.0,26,449.0277778,0.0,0.018518519,0.0,0.6,Feb,1.0,1,3,3,Returning_Visitor,False,False
131,135,135,0,0.0,0.0,0.0,6,158.16666669999998,0.0,0.033333333,0.0,0.0,Feb,3.0,2,4,2,Returning_Visitor,False,False
132,136,136,0,0.0,0.0,0.0,9,303.6666667,0.005555556,0.0462962959999999,0.0,0.0,Feb,2.0,4,5,2,Returning_Visitor,False,False
133,137,137,0,0.0,0.0,0.0,3,25.0,0.0,0.066666667,0.0,0.0,Feb,2.0,4,1,5,Returning_Visitor,False,False
134,138,138,0,0.0,0.0,0.0,2,42.0,0.05,0.15,0.0,0.4,Feb,2.0,2,1,4,Returning_Visitor,False,False
135,139,139,4,103.625,0.0,0.0,14,1003.416667,0.0,0.018039216,0.0,0.2,Feb,1.0,1,3,3,Returning_Visitor,False,False
136,140,140,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2.0,2,7,3,Returning_Visitor,False,False
137,141,141,0,0.0,0.0,0.0,9,272.5,0.0,0.011851852,0.0,0.2,Feb,1.0,1,6,3,Returning_Visitor,False,False
138,142,142,3,19.0,0.0,0.0,8,344.0,0.0,0.0074074069999999,0.0,0.0,Feb,2.0,4,2,3,Returning_Visitor,False,False
139,143,143,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2.0,2,2,3,Returning_Visitor,False,False
140,144,144,0,0.0,1.0,19.0,10,852.0,0.0,0.009090909,0.0,0.0,Feb,2.0,2,3,6,Returning_Visitor,False,False
141,145,145,0,0.0,0.0,0.0,3,780.0,0.066666667,0.066666667,0.0,0.4,Feb,2.0,4,1,3,Returning_Visitor,False,False
142,146,146,0,0.0,0.0,0.0,3,1038.0,0.0,0.033333333,0.0,0.0,Feb,2.0,2,1,1,Returning_Visitor,False,False
143,147,147,0,0.0,0.0,0.0,4,573.0,0.0,0.05,0.0,0.0,Feb,2.0,2,3,3,Returning_Visitor,False,False
144,148,148,0,0.0,0.0,0.0,28,1231.233333,0.007142857,0.030357143,0.0,0.0,Feb,1.0,1,4,3,Returning_Visitor,False,False
145,149,149,0,0.0,0.0,0.0,11,316.6666667,0.0,0.027272727,0.0,0.8,Feb,2.0,2,2,1,Returning_Visitor,False,False
146,150,150,0,0.0,0.0,0.0,20,873.7365079,0.0075,0.028166667,0.0,0.0,Feb,1.0,2,1,1,Returning_Visitor,False,False
147,151,151,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.4,Feb,2.0,2,3,4,Returning_Visitor,False,False
148,152,152,0,0.0,0.0,0.0,4,16.0,0.1,0.15,0.0,0.0,Feb,2.0,5,5,1,Returning_Visitor,False,False
149,153,153,0,0.0,0.0,0.0,19,615.0,0.0,0.026315789,0.0,0.2,Feb,2.0,2,3,3,Returning_Visitor,False,False
150,154,154,0,0.0,0.0,0.0,9,261.75,0.0,0.026666667,0.0,0.0,Feb,2.0,6,1,1,Returning_Visitor,False,False
151,155,155,0,0.0,0.0,0.0,21,615.8831169,0.033333333,0.04993081,0.0,0.0,Feb,3.0,2,2,1,Returning_Visitor,True,False
152,156,156,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,3.0,3,3,2,Returning_Visitor,True,False
153,157,157,0,0.0,0.0,0.0,6,117.5,0.0,0.033333333,0.0,0.8,Feb,1.0,1,1,3,Returning_Visitor,True,False
154,158,160,0,0.0,0.0,0.0,23,501.6666666999999,0.008695652,0.01884058,0.0,0.6,Feb,1.0,1,4,2,Returning_Visitor,False,False
155,159,161,2,58.0,2.0,22.0,31,829.1666667000001,0.03030303,0.040606061,0.0,0.0,Feb,1.0,1,1,1,Returning_Visitor,True,False
156,160,162,1,9.5,0.0,0.0,23,1223.0,0.015217391,0.012463768,0.0,0.0,Feb,1.0,1,1,2,Returning_Visitor,True,False
157,161,163,0,0.0,0.0,0.0,6,467.0,0.0,0.016666667,0.0,0.4,Feb,1.0,1,3,3,Returning_Visitor,False,False
158,162,164,0,0.0,0.0,0.0,23,737.1666667000001,0.008695652,0.011594203,0.0,0.6,Feb,2.0,2,1,3,Returning_Visitor,False,False
159,163,165,0,0.0,0.0,0.0,12,129.0,0.0,0.033333333,0.0,0.0,Feb,1.0,1,3,2,Returning_Visitor,False,False
160,164,166,0,0.0,0.0,0.0,5,63.0,0.0,0.04,0.0,0.0,Feb,2.0,2,1,3,Returning_Visitor,False,False
161,165,167,0,0.0,0.0,0.0,5,125.0,0.0866666669999999,0.166666667,0.0,0.0,Feb,2.0,2,1,3,Returning_Visitor,False,False
162,166,168,0,0.0,0.0,0.0,11,684.3333332999999,0.018181818,0.063636364,0.0,0.0,Feb,2.0,4,6,1,Returning_Visitor,False,False
163,167,169,0,0.0,0.0,0.0,20,665.4722222,0.0,0.0145,0.0,0.8,Feb,3.0,2,7,4,Returning_Visitor,True,False
164,168,170,1,0.0,0.0,0.0,15,487.5,0.0,0.019166667,0.0,0.8,Feb,1.0,1,2,4,Returning_Visitor,True,False
165,169,171,0,0.0,0.0,0.0,17,437.1666666999999,0.011111111,0.033333333,0.0,0.0,Feb,2.0,4,1,3,Returning_Visitor,False,False
166,170,172,0,0.0,0.0,0.0,3,55.0,0.066666667,0.1,0.0,0.6,Feb,1.0,1,1,3,Returning_Visitor,False,False
167,171,173,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.8,Feb,1.0,1,1,2,Returning_Visitor,True,False
168,172,174,5,41.3,0.0,0.0,24,446.9277778,0.0,0.008602151,0.0,1.0,Feb,2.0,2,8,1,Returning_Visitor,True,False
169,173,175,3,87.0,0.0,0.0,10,320.5,0.0,0.015384615,0.0,0.0,Feb,1.0,1,2,3,Returning_Visitor,False,False
170,174,176,0,0.0,0.0,0.0,7,666.0,0.0,0.014285714,0.0,0.0,Feb,1.0,1,6,2,Returning_Visitor,False,False
171,175,177,1,0.0,0.0,0.0,21,405.7095238,0.010743802,0.047002635,0.0,0.0,Feb,1.0,1,1,4,Returning_Visitor,False,False
172,176,179,0,0.0,0.0,0.0,6,163.25,0.033333333,0.033333333,0.0,0.6,Feb,1.0,1,6,2,Returning_Visitor,False,False
173,177,180,0,0.0,0.0,0.0,17,284.25,0.0,0.011764706,0.0,0.0,Feb,3.0,2,6,2,Returning_Visitor,True,False
174,178,181,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.6,Feb,4.0,2,1,3,Returning_Visitor,False,False
175,179,182,0,0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2.0,4,1,1,Returning_Visitor,False,False
176,180,183,0,0.0,0.0,0.0,8,260.0,0.008333333,0.025,0.0,0.8,Feb,3.0,2,1,3,Returning_Visitor,True,False
177,181,184,0,0.0,16.0,1210.3976189999998,5,279.85714289999993,0.003174603,0.0127642019999999,0.0,0.0,Mar,2.0,2,1,8,Returning_Visitor,False,False
178,182,185,0,0.0,0.0,0.0,20,927.45,0.011111111,0.027248677,8.000740741,0.0,Mar,1.0,1,3,1,Returning_Visitor,False,False
179,183,186,2,9.0,0.0,0.0,50,836.8,0.0,0.006339869,0.0,0.0,Mar,2.0,2,3,2,Returning_Visitor,False,False
180,184,187,10,293.77820510000004,2.0,153.0,96,3283.166739,0.001960784,0.0135094139999999,0.0,0.0,Mar,3.0,2,6,2,Returning_Visitor,True,False
181,185,188,9,111.5,1.0,48.5,49,1868.819697,0.0,0.020708874,1.706014966,0.0,Mar,2.0,2,7,2,Returning_Visitor,False,True
182,186,189,3,47.0,1.0,51.0,68,3008.124108,0.007142857,0.016727891,46.53017511,0.0,Mar,2.0,2,1,1,Returning_Visitor,False,False
183,187,190,0,0.0,0.0,0.0,2,0.0,0.2,0.2,0.0,0.0,Mar,1.0,1,1,3,Returning_Visitor,False,False
184,188,191,3,1226.0,5.0,3.0,24,3230.25,0.036190476,0.096,0.0,0.0,Mar,2.0,2,1,2,Returning_Visitor,False,False
185,189,192,3,52.0,0.0,0.0,9,319.0,0.0,0.02,0.0,0.0,Mar,1.0,1,1,1,Returning_Visitor,False,False
186,190,193,0,0.0,0.0,0.0,3,42.0,0.0,0.066666667,0.0,0.0,Mar,2.0,2,3,1,Returning_Visitor,False,False
187,191,194,0,0.0,0.0,0.0,22,354.3333333,0.009090909,0.057662338,0.0,0.0,Mar,1.0,1,7,2,Returning_Visitor,True,False
188,192,195,0,0.0,0.0,0.0,98,3556.61241,0.002061856,0.010173465,0.0,0.0,Mar,1.0,1,1,3,Returning_Visitor,False,False
189,193,196,2,56.0,1.0,144.0,67,2563.783333,0.0,0.005797101,19.34265017,0.0,Mar,2.0,2,4,2,New_Visitor,False,True
190,194,197,3,112.9607843,0.0,0.0,13,3014.018519,0.013068182,0.06140625,0.0,0.0,Mar,2.0,2,1,2,Returning_Visitor,False,False
